sha,date,message,change,file
'099c82a,2026-05-19 13:26,"feat: hook up icon for example",M,./FishingLure.py
'099c82a,2026-05-19 13:26,"feat: hook up icon for example",M,./README.md
'099c82a,2026-05-19 13:26,"feat: hook up icon for example",A,./Resources/icons/FishingLure.svg
'42249e4,2026-05-19 11:41,"dev: icon93",M,./FishingLure.py
'42249e4,2026-05-19 11:41,"dev: icon93",M,./README.md
'42249e4,2026-05-19 11:41,"dev: icon93",M,./~devEnv/examples/create-icon/FishingLure_Page__v1-v93.svg
'42249e4,2026-05-19 11:41,"dev: icon93",M,./~devEnv/examples/create-icon/readme.md
'c323a7d,2026-05-19 11:30,"dev: icon92 screenshots",A,./~devEnv/examples/create-icon/firetiger-v92-icon-screenshots.png
'1a96d12,2026-05-19 11:26,"dev: icon 92",M,./FishingLure.py
'1a96d12,2026-05-19 11:26,"dev: icon 92",M,./README.md
'1a96d12,2026-05-19 11:26,"dev: icon 92",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v92.svg
'1a96d12,2026-05-19 11:26,"dev: icon 92",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v93.svg
'10a0dcd,2026-05-19 11:02,"dev: icon 91 screenshots",A,./~devEnv/examples/create-icon/firetiger-v91-icon-screenshots.png
'2aaf49a,2026-05-19 10:55,"dev: new icon",M,./FishingLure.py
'2aaf49a,2026-05-19 10:55,"dev: new icon",M,./README.md
'2aaf49a,2026-05-19 10:55,"dev: new icon",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v91.svg
'2aaf49a,2026-05-19 10:55,"dev: new icon",M,./~devEnv/examples/create-icon/readme.md
'79738bf,2026-05-19 10:50,"dev: icon screenshots",A,./~devEnv/examples/create-icon/firetiger-v9-icon-screenshots.png
'80832e3,2026-05-19 10:46,"dev: icon 9",M,./FishingLure.py
'80832e3,2026-05-19 10:46,"dev: icon 9",M,./README.md
'80832e3,2026-05-19 10:46,"dev: icon 9",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v9.svg
'80832e3,2026-05-19 10:46,"dev: icon 9",M,./~devEnv/examples/create-icon/readme.md
'0292b58,2026-05-19 10:07,"dev: icon screenshots",A,./~devEnv/examples/create-icon/firetiger-v8-icon-screenshots.png
'69628a5,2026-05-19 10:04,"dev: icon: continuing firetiger theme",M,./FishingLure.py
'69628a5,2026-05-19 10:04,"dev: icon: continuing firetiger theme",M,./README.md
'69628a5,2026-05-19 10:04,"dev: icon: continuing firetiger theme",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v8.svg
'69628a5,2026-05-19 10:04,"dev: icon: continuing firetiger theme",M,./~devEnv/examples/create-icon/readme.md
'7838cae,2026-05-19 09:52,"dev: icon readme notes",M,./~devEnv/examples/create-icon/readme.md
'86291ff,2026-05-19 09:47,"dev: more icon rendering screenshots",A,./~devEnv/examples/create-icon/firetiger-v7-icon-screenshots.png
'28cfa2a,2026-05-19 09:44,"dev: trying out firetiger style icon",M,./FishingLure.py
'28cfa2a,2026-05-19 09:44,"dev: trying out firetiger style icon",M,./README.md
'ff78008,2026-05-19 09:42,"dev: screenshots for icon",A,./~devEnv/examples/create-icon/baby-bass-v6-icon-screenshots.png
'40d0bc0,2026-05-19 09:40,"dev: more icon work",M,./README.md
'40d0bc0,2026-05-19 09:40,"dev: more icon work",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v7.svg
'40d0bc0,2026-05-19 09:40,"dev: more icon work",M,./~devEnv/merge-or-pr-todo.md
'a140f1b,2026-05-19 08:52,"dev: icon notes",M,./FishingLure.py
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/FishingLure_Page__.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/FishingLure_Page__v1-v1.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/FishingLure_Page__v1-v2.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/FishingLure_Page__v1-v3.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/FishingLure_Page__v1-v4.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/FishingLure_Page__v1-v5.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/FishingLure_Page__v1-v6.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/FishingLure_Page__v1.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/FishingLure_Page__.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v1.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v2.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v3.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v4.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v5.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/FishingLure_Page__v1-v6.svg
